dataset,configuration,AUC,MRR,nDCG@5,nDCG@10,delta_vs_full_AUC,delta_vs_full_MRR,delta_vs_full_nDCG@5,delta_vs_full_nDCG@10
mind,Baseline (Stage 1),0.5042,0.2361,0.2141,0.273,0.0219,0.0019,0.0058,0.0031
mind,Full Model (Principled Improvement),0.4823,0.2342,0.2083,0.2699,0.0,0.0,0.0,0.0
mind,- Category Affinity,0.4823,0.2342,0.2083,0.2699,0.0,0.0,0.0,0.0
mind,- Position Bias,0.484,0.2352,0.2102,0.2707,0.0017,0.001,0.0019,0.0008
mind,- Freshness & Recency,0.4823,0.2342,0.2083,0.2699,0.0,0.0,0.0,0.0
mind,- Session & Dwell,0.4823,0.2342,0.2083,0.2699,0.0,0.0,0.0,0.0
mind,- Popularity Prior,0.5084,0.237,0.2121,0.275,0.0261,0.0028,0.0038,0.0051
mind,- History Embeddings & Semantic Overlap,0.4823,0.2342,0.2083,0.2699,0.0,0.0,0.0,0.0
ebnerd,Baseline (Stage 1),0.5026,0.307,0.3387,0.4238,-0.1072,-0.0598,-0.0778,-0.063
ebnerd,Full Model (Principled Improvement),0.6098,0.3668,0.4165,0.4868,0.0,0.0,0.0,0.0
ebnerd,- Category Affinity,0.6098,0.3668,0.4165,0.4868,0.0,0.0,0.0,0.0
ebnerd,- Position Bias,0.5669,0.3471,0.3873,0.4633,-0.0429,-0.0197,-0.0292,-0.0235
ebnerd,- Freshness & Recency,0.5068,0.3006,0.3333,0.4188,-0.103,-0.0662,-0.0832,-0.068
ebnerd,- Session & Dwell,0.6051,0.3611,0.4103,0.4824,-0.0047,-0.0057,-0.0062,-0.0044
ebnerd,- Popularity Prior,0.6596,0.4271,0.4827,0.5388,0.0498,0.0603,0.0662,0.052
ebnerd,- History Embeddings & Semantic Overlap,0.6098,0.3668,0.4165,0.4868,0.0,0.0,0.0,0.0
