dataset,sample_size,comparison,metric,mean_baseline,mean_improved,absolute_diff,relative_gain_pct,ci_low_95,ci_high_95,ci_width,std_diff,p_value,excludes_zero,direction,statistically_significant
mind,500,Gate vs Ablation (No Gate),AUC,0.6186,0.6325,0.0138,2.24,0.001,0.0273,0.0262,0.151,0.04,true,improvement,true
mind,500,Gate vs Ablation (No Gate),MRR,0.3309,0.3413,0.0104,3.15,-0.0069,0.0279,0.0348,0.1948,0.242,false,neutral / inconclusive,false
mind,500,Gate vs Ablation (No Gate),nDCG@5,0.3105,0.3216,0.0111,3.59,-0.0034,0.0265,0.0298,0.1773,0.166,false,neutral / inconclusive,false
mind,500,Gate vs Ablation (No Gate),nDCG@10,0.38,0.3851,0.0051,1.34,-0.009,0.018,0.027,0.1565,0.434,false,neutral / inconclusive,false
mind,500,Gate vs Official Baseline,AUC,0.6398,0.6325,-0.0073,-1.15,-0.021,0.0078,0.0288,0.1768,0.366,false,neutral / inconclusive,false
mind,500,Gate vs Official Baseline,MRR,0.344,0.3413,-0.0027,-0.79,-0.0191,0.0141,0.0332,0.1934,0.816,false,neutral / inconclusive,false
mind,500,Gate vs Official Baseline,nDCG@5,0.3258,0.3216,-0.0042,-1.29,-0.0198,0.0115,0.0313,0.1826,0.628,false,neutral / inconclusive,false
mind,500,Gate vs Official Baseline,nDCG@10,0.3943,0.3851,-0.0092,-2.33,-0.0232,0.0051,0.0282,0.1614,0.196,false,neutral / inconclusive,false
mind,2500,Gate vs Ablation (No Gate),AUC,0.6356,0.6456,0.0101,1.58,0.0042,0.016,0.0118,0.1445,0.001,true,improvement,true
mind,2500,Gate vs Ablation (No Gate),MRR,0.3389,0.3472,0.0084,2.47,0.0007,0.0162,0.0155,0.1897,0.032,true,improvement,true
mind,2500,Gate vs Ablation (No Gate),nDCG@5,0.3225,0.331,0.0085,2.62,0.0016,0.0159,0.0143,0.1761,0.012,true,improvement,true
mind,2500,Gate vs Ablation (No Gate),nDCG@10,0.3882,0.3943,0.0061,1.58,0.0004,0.0122,0.0118,0.149,0.046,true,improvement,true
mind,2500,Gate vs Official Baseline,AUC,0.6487,0.6456,-0.0031,-0.47,-0.0088,0.003,0.0119,0.1502,0.34,false,neutral / inconclusive,false
mind,2500,Gate vs Official Baseline,MRR,0.3544,0.3472,-0.0072,-2.04,-0.0142,0.0001,0.0143,0.1896,0.054,false,neutral / inconclusive,false
mind,2500,Gate vs Official Baseline,nDCG@5,0.3371,0.331,-0.0061,-1.81,-0.0125,0.0007,0.0132,0.1775,0.07,false,neutral / inconclusive,false
mind,2500,Gate vs Official Baseline,nDCG@10,0.4011,0.3943,-0.0069,-1.71,-0.013,-0.0009,0.0122,0.1532,0.032,true,regression,false
mind,2500,Gate vs Shuffled Control,AUC,0.6401,0.6456,0.0055,0.86,0.0003,0.0115,0.0112,0.1404,0.042,true,improvement,true
mind,2500,Gate vs Shuffled Control,MRR,0.3436,0.3472,0.0037,1.06,-0.0035,0.0114,0.0149,0.1928,0.354,false,neutral / inconclusive,false
mind,2500,Gate vs Shuffled Control,nDCG@5,0.3264,0.331,0.0046,1.41,-0.0025,0.0122,0.0147,0.1867,0.196,false,neutral / inconclusive,false
mind,2500,Gate vs Shuffled Control,nDCG@10,0.3928,0.3943,0.0015,0.38,-0.0043,0.0075,0.0117,0.1526,0.656,false,neutral / inconclusive,false
