validation_cohort,sample_size,comparison_type,model_name,AUC,MRR,nDCG@5,nDCG@10,delta_auc_vs_baseline
n=500 Cohort,500,Naive Baseline,Popularity-Only Ranking,0.5156,0.2541,,,-0.1242
n=500 Cohort,500,Reference Baseline,Official NRMS Baseline,0.6398,0.344,0.3258,0.3943,0.0
n=500 Cohort,500,Ablation Control,CategoryAwareNRMS (No Gate),0.6186,0.3309,0.3105,0.38,-0.0212
n=500 Cohort,500,Causal Control,CategoryAwareNRMS (Shuffled Cats),0.6369,0.3457,0.3264,0.3971,-0.0029
n=500 Cohort,500,Full Model,CategoryAwareNRMS (With Gate),0.6325,0.3413,0.3216,0.3851,-0.0073
"n=2,500 Cohort",2500,Naive Baseline,Popularity-Only Ranking,0.5299,0.2608,,,-0.1188
"n=2,500 Cohort",2500,Reference Baseline,Official NRMS Baseline,0.6487,0.3544,0.3371,0.4011,0.0
"n=2,500 Cohort",2500,Ablation Control,CategoryAwareNRMS (No Gate),0.6356,0.3389,0.3225,0.3882,-0.0131
"n=2,500 Cohort",2500,Causal Control,CategoryAwareNRMS (Shuffled Cats),0.6401,0.3436,0.3264,0.3928,-0.0086
"n=2,500 Cohort",2500,Full Model,CategoryAwareNRMS (With Gate),0.6456,0.3472,0.331,0.3943,-0.0031
