dataset,metric_type,metric,mean,ci_low_95,ci_high_95,ci_width
mind,ranking,AUC,0.6785,0.6738,0.6834,0.0096
mind,ranking,MRR,0.3792,0.3706,0.3889,0.0183
mind,ranking,nDCG@5,0.3541,0.3455,0.3627,0.0172
mind,ranking,nDCG@10,0.4128,0.4054,0.4208,0.0154
mind,beyond_accuracy,ILD,0.642,0.6386,0.6451,0.0065
mind,beyond_accuracy,Novelty,8.745,8.6686,8.8179,0.1493
mind,beyond_accuracy,Coverage,0.1482,0.1359,0.1601,0.0242
ebnerd,ranking,AUC,0.5842,0.5792,0.5894,0.0102
ebnerd,ranking,MRR,0.3985,0.3888,0.4076,0.0188
ebnerd,ranking,nDCG@5,0.4281,0.4203,0.4368,0.0165
ebnerd,ranking,nDCG@10,0.5124,0.5045,0.5199,0.0155
ebnerd,beyond_accuracy,ILD,0.718,0.715,0.721,0.006
ebnerd,beyond_accuracy,Novelty,9.312,9.2388,9.3879,0.149
ebnerd,beyond_accuracy,Coverage,0.1865,0.1752,0.1981,0.0228
