dataset,slice_category,slice_name,n_impressions,metric,mean,ci_low_95,ci_high_95,ci_width
mind,user_slice,Cold-Start Users (history <= 5),510,AUC,0.4873,0.4598,0.5155,0.0557
mind,user_slice,Cold-Start Users (history <= 5),510,MRR,0.2545,0.2287,0.28,0.0512
mind,user_slice,Cold-Start Users (history <= 5),510,nDCG@5,0.2412,0.2131,0.2686,0.0555
mind,user_slice,Cold-Start Users (history <= 5),510,nDCG@10,0.3038,0.2775,0.3301,0.0526
mind,user_slice,Cold-Start Users (history <= 5),510,ILD,0.9367,0.9329,0.9406,0.0077
mind,user_slice,Cold-Start Users (history <= 5),510,Novelty,12.7608,12.6653,12.8552,0.1899
mind,user_slice,Warm Users (history > 5),2490,AUC,0.4813,0.4688,0.4929,0.0241
mind,user_slice,Warm Users (history > 5),2490,MRR,0.2301,0.2192,0.2415,0.0223
mind,user_slice,Warm Users (history > 5),2490,nDCG@5,0.2015,0.1899,0.2141,0.0242
mind,user_slice,Warm Users (history > 5),2490,nDCG@10,0.263,0.2519,0.2746,0.0228
mind,user_slice,Warm Users (history > 5),2490,ILD,0.9382,0.9367,0.9396,0.0029
mind,user_slice,Warm Users (history > 5),2490,Novelty,12.5865,12.5431,12.6281,0.085
mind,item_slice,Head Articles (mean pop > 10),21,AUC,0.5766,0.4068,0.7425,0.3357
mind,item_slice,Head Articles (mean pop > 10),21,MRR,0.4444,0.2897,0.6109,0.3212
mind,item_slice,Head Articles (mean pop > 10),21,nDCG@5,0.4603,0.2877,0.6446,0.3569
mind,item_slice,Head Articles (mean pop > 10),21,nDCG@10,0.5156,0.3655,0.6796,0.3141
mind,item_slice,Head Articles (mean pop > 10),21,ILD,0.9604,0.9453,0.9755,0.0302
mind,item_slice,Head Articles (mean pop > 10),21,Novelty,10.3842,10.0522,10.7676,0.7154
mind,item_slice,Tail Articles (mean pop <= 10),2979,AUC,0.4817,0.471,0.4924,0.0215
mind,item_slice,Tail Articles (mean pop <= 10),2979,MRR,0.2327,0.2229,0.2427,0.0198
mind,item_slice,Tail Articles (mean pop <= 10),2979,nDCG@5,0.2065,0.1952,0.2167,0.0215
mind,item_slice,Tail Articles (mean pop <= 10),2979,nDCG@10,0.2682,0.2569,0.2786,0.0217
mind,item_slice,Tail Articles (mean pop <= 10),2979,ILD,0.9378,0.9364,0.9392,0.0028
mind,item_slice,Tail Articles (mean pop <= 10),2979,Novelty,12.6319,12.5918,12.6721,0.0803
ebnerd,user_slice,Cold-Start Users (history <= 5),59,AUC,0.5933,0.5266,0.6629,0.1363
ebnerd,user_slice,Cold-Start Users (history <= 5),59,MRR,0.2926,0.239,0.3578,0.1187
ebnerd,user_slice,Cold-Start Users (history <= 5),59,nDCG@5,0.315,0.2396,0.4022,0.1626
ebnerd,user_slice,Cold-Start Users (history <= 5),59,nDCG@10,0.4167,0.3571,0.4855,0.1284
ebnerd,user_slice,Cold-Start Users (history <= 5),59,ILD,0.1852,0.176,0.1955,0.0195
ebnerd,user_slice,Cold-Start Users (history <= 5),59,Novelty,12.5127,12.2354,12.8087,0.5734
ebnerd,user_slice,Warm Users (history > 5),2941,AUC,0.6101,0.5996,0.6209,0.0214
ebnerd,user_slice,Warm Users (history > 5),2941,MRR,0.3683,0.3563,0.3797,0.0233
ebnerd,user_slice,Warm Users (history > 5),2941,nDCG@5,0.4185,0.4052,0.4311,0.0259
ebnerd,user_slice,Warm Users (history > 5),2941,nDCG@10,0.4882,0.4773,0.4983,0.021
ebnerd,user_slice,Warm Users (history > 5),2941,ILD,0.1862,0.1849,0.1876,0.0027
ebnerd,user_slice,Warm Users (history > 5),2941,Novelty,12.8647,12.8324,12.8943,0.0619
ebnerd,item_slice,Head Articles (mean pop > 10),24,AUC,0.5717,0.455,0.6922,0.2372
ebnerd,item_slice,Head Articles (mean pop > 10),24,MRR,0.3404,0.2254,0.4708,0.2454
ebnerd,item_slice,Head Articles (mean pop > 10),24,nDCG@5,0.3631,0.2278,0.5111,0.2834
ebnerd,item_slice,Head Articles (mean pop > 10),24,nDCG@10,0.4569,0.3472,0.5741,0.2268
ebnerd,item_slice,Head Articles (mean pop > 10),24,ILD,0.178,0.1652,0.1909,0.0256
ebnerd,item_slice,Head Articles (mean pop > 10),24,Novelty,9.5464,9.3534,9.7351,0.3817
ebnerd,item_slice,Tail Articles (mean pop <= 10),2976,AUC,0.6101,0.5989,0.6201,0.0212
ebnerd,item_slice,Tail Articles (mean pop <= 10),2976,MRR,0.367,0.3567,0.3777,0.021
ebnerd,item_slice,Tail Articles (mean pop <= 10),2976,nDCG@5,0.4169,0.4055,0.4298,0.0243
ebnerd,item_slice,Tail Articles (mean pop <= 10),2976,nDCG@10,0.487,0.4773,0.4968,0.0196
ebnerd,item_slice,Tail Articles (mean pop <= 10),2976,ILD,0.1862,0.1849,0.1875,0.0026
ebnerd,item_slice,Tail Articles (mean pop <= 10),2976,Novelty,12.8845,12.857,12.913,0.056
